Right Ascension,Declination,Gaia ID,unWISE ID,Parallax,Parallax Error,Proper Motion - Right Ascension,Proper Motion - Right Ascension Error,Proper Motion - Declination,Proper Motion - Declination Error,Parallax Significance,Proper Motion Significance,Galactic E(B-V) Reddening,Number of Observations for G-Band Photometry,Gaia G-Band Mean Magnitude,Gaia BP-Band Mean Magnitude,Gaia RP-Band Mean Magnitude,unWISE W1 Band Magnitude,unWISE W2 Band Magnitude,BP-G Color,BP-RP Color,G-RP Color,G-W1 Color,Gaia-unWISE Separation,W1-W2 Color,G-Band Variation,BP/RP Excess Factor,Astronomic Excess Noise,Goodness-of-fit,"Gaia Sources Within 1"" Radius","Gaia Sources Within 2"" Radius","Gaia Sources Within 4"" Radius",Gaia Sources Within 8' Radius,"Gaia Sources Within 16"" Radius","Gaia Sources Within 32"" Radius",Photometric Redshift Predicted,AGN Probability,Number of Sectors
113.2946845,-57.49431259,5486167958625908480,b'1135m576o0061417',0.144390622,0.151694083,0.491075089,0.335610712,-0.448241551,0.337700282,0.951854015,1.97556483,0.166314006,225,17.88043217,17.95891228,17.51685743,14.51533222,13.50575066,0.078480106,0.442054866,0.363574745,3.365099949,0.16304407,1.009581566,0.113802663,1.263610005,0,1.00248003,1,1,1,2,3,9,0.843578878,1,7
115.554622,-59.5801697,5292775369517975424,b'1152m591o0046960',0.150185652,0.151897678,0.167014038,0.30834949,0.08989674,0.271375531,0.988729082,0.634907787,0.202806994,221,17.88956887,17.92948278,17.47168593,15.00590324,13.85669231,0.039913916,0.45779688,0.417882934,2.883665621,0.02234053,1.14921093,0.036053113,1.318609953,0,0.308124989,1,1,1,1,3,7,1.913755413,1,7
70.61885283,-57.38887265,4774718720671069952,b'0719m576o0048680',-0.046774003,0.126231407,-0.117143046,0.244194252,0.454175647,0.292011813,0.370541721,1.627631796,0.008095,212,17.89292411,18.04399996,17.52060413,15.35543251,14.36578846,0.151075845,0.523395811,0.372319981,2.537491603,0.010065639,0.989644051,0.030978012,1.23743999,0.198605835,0.953845024,1,1,1,2,2,3,2.283879913,1,7
125.1228227,-68.08229929,5271083211990825600,b'1265m682o0025496',0.024899355,0.141253183,-0.285440768,0.288938555,0.58925947,0.383847897,0.176274646,1.825536566,0.098297998,206,17.89471174,17.94826299,17.25045474,13.3925457,12.47448349,0.053551249,0.697808269,0.644257006,4.502166041,0.054805971,0.91806221,0.128120376,1.468780041,0.277174802,0.812415004,1,1,1,1,1,3,0.289684197,1,7
105.6733831,-79.37069518,5208260514895572992,b'1080m788o0004112',-0.001472825,0.182245335,-0.478605963,0.318745572,0.252783805,0.33286995,0.008081549,1.682643985,0.280084014,219,17.89880699,17.97860431,17.54442253,15.24823952,14.1451683,0.079797321,0.434182765,0.354384461,2.650567475,0.014391953,1.103071213,0.055940843,1.256780028,0,-0.506161988,1,1,1,1,1,2,2.194213295,1,7
126.0340599,-68.76030061,5270251156566437120,b'1265m682o0005308',0.212584053,0.133326138,-0.312452504,0.303911914,-0.567749442,0.290757809,1.594466445,2.206774192,0.125790998,218,17.91103574,17.93981308,17.6884385,14.22758102,13.12771702,0.028777348,0.251374599,0.222597236,3.683454711,0.327432209,1.099864006,0.035729726,1.216199994,0.250257559,1.574020028,1,1,2,2,2,7,0.827884209,0.97,7
120.2476732,-76.1226583,5213560508835816832,b'1219m758o0010482',-0.010626368,0.153442874,0.194624814,0.252144139,-0.247009464,0.326597403,0.069252928,1.080650267,0.131549999,218,17.91908593,18.08251786,17.52892366,14.45037079,13.47743893,0.16343193,0.553594205,0.390162276,3.468715144,0.11008314,0.972931862,0.051242285,1.234599948,0.580234302,2.878950119,1,1,1,1,1,3,0.993808774,1,7
92.33021269,-53.51167754,5500540392372447488,b'0912m531o0006866',0.006191752,0.122616752,-0.314987672,0.26727289,-0.077339166,0.279847019,0.050496788,1.210494248,0.051348001,226,17.92844492,18.01241109,17.57388946,14.65347004,13.30160713,0.083966169,0.438521648,0.354555463,3.27497488,0.144656942,1.351862907,0.028392876,1.263069987,0.34591406,1.113309979,1,1,1,1,2,2,1.322040452,1,7
126.1225489,-67.8309319,5272590230115759104,b'1265m682o0033080',-0.004263278,0.134595657,0.07572543,0.259879422,0.413101331,0.3083736,0.031674704,1.370937513,0.109857999,246,17.93650092,17.96029667,17.53397916,13.39128208,12.26448631,0.023795746,0.426318537,0.402521763,4.545218838,0.103788135,1.126795769,0.060446344,1.322270036,0.620467296,3.70152998,1,1,1,1,4,6,0.508063138,0.99,7
112.7029858,-57.19198145,5486373219409555328,b'1135m576o0032287',-0.019364404,0.165697243,0.07268152,0.310812693,0.205091754,0.395085396,0.116866179,0.569346351,0.162735999,194,17.93946796,17.90482196,17.64828766,14.84270859,13.63682842,-0.034645997,0.256534292,0.291180296,3.096759371,0.106661633,1.205880165,0.045723274,1.287660003,0,-0.668662012,1,1,1,1,1,6,1.213065834,0.99,7
